Comment Title,Comments,Countries,Date,Mobile,Rating
Great resort for families,We visited Mauritius in December 2016 with our 2 children (nearly 3 year old and 5 month old). We were a little apprehensive about visiting the resort with 2 young children but needn't have been. The resort is luxurious and works well for couples and young families. The staff were faultless and couldn't have done more to make our stay comfortable. In particular Veenaye at the pool and Rajiv at Le Deck.We stayed in a family suite which was very large and comfortable. The novelty of the outdoor shower doesn't wear off and is a great way to start the day. Our toddler loved the kids club where the staff were very good and there was always lots to do. The pools and beach are beautiful and very well maintained. The pool in particular is ideal for young children with plenty of shallow areas and ledges for them to rest and jump off. It looks out over a beautiful beach. We took a trip on a boat to see the dolphins which was also great.The food is of a very high standard but extremely expensive. This isn't unexpected at a 5* resort and fortunately is all good quality. The staff also go out of their way to accommodate dietary needs and requirements for kids.Overall I can't fault the resort and would have no hesitation recommending it for families of all ages. Fatima works tirelessly to ensure guests feel welcomed and her staff are highly attentive. Thanks for a wonderful stay.,London| United Kingdom,19-12-16,Yes,5
Top class,We stayed for 10 days with a 15 month old. The staff were welcoming from the start. We had a beachside room and it was incredible. The restaurants are excellent quality with a choice of six. The beach is stunning and whilst it is public there is a hotel area patrolled by staff. The main hotel pool is excellent and perfect for all ages. The tennis set up is at a high level| the gym does the job. Thoroughly recommended. ,Reading| United Kingdom,19-12-16,Yes,5
Relaxing on the beach ,I stayed one week at Beachcomber Hotel and fulfilled my expectations.The junior suite was nice| spacious and comfortable. The beach has hot and calm water| white sand but a lot of vendors which could be unpleasant. The thematic Restaurante's are top with an excellent quality| recommend for foodies!,Milan| Italy,18-12-16,Yes,4
Close to perfect,This was my 1st time to Mauritius. I visited nov 2015. The resort has great rooms| super restaurants| fine service| good atmosphere| nice beaches. I have noting negative to report. Still it was not the same as a Amanreport| Oriental or a One&Only...but very close and at much better price/quality rate.,Milan| Italy,17-12-16,Yes,5
Amazing stay...,I have enjoyed my stay at Trou aux Biches for a short honeymoon and it has been really great. The entire holiday has gone smoothly and the overall package has been of the highest quality.The room we were given| a Tropical Junior Suite on the ground floor| was spacious| with enough closet space| a comfortable bed and an enormous bathroom| with both an internal and an external shower. The room was pretty clean| even though I would recommend to try to remove as many little animals as possible| especially ants| which sometimes came in from outside.The quality of the numerous restaurants was high and we were always served tasty food. Every restaurant had its own cuisine and my personal ranking of dinners in terms of quality was:1. La Caravelle - French cuisine2. Le Deck - creative cuisine3. Blue Ginger - Thai cuisine4. Il Corallo - Italian cuisineOn top of these there was the lunch buffet at L'Oasis| always good| and the Indian restaurant which we did not try out.The level of service was really high. The way our 10-month old child was treated was remarkable: he always had a cooked meal available and when we needed some assistance we were always helped. The SPA was very nice and I enjoyed a good shiatsu massage. Wifi was available in all places| including the stunning beach where we enjoyed some rest.What I honestly did not like is the fact that each and every drink| including still water| cost at least 100 MUR a bottle. In such a resort it should be included in the package.Still| I can recommend Trou aux Biches to anyone looking for a comfortable holiday in a dream location.,Milan| Italy,17-12-16,Yes,5
Very lively resort. Nice rooms with large bathrooms. Nice sand beach and pools.,This was one of 3 resorts we stayed at in Mauritius. It is very lively and active. Not desolate as other resorts we stayed at. One has to be prepared for large crowds. It's not a quiet resort and seems to be large.The room was very nice and the bathroom was large. However the only gripe is that it was a bit dark as we were on the ground level. One should try and get a room on the highest floor possible.We had access to a small pool and the large pool. The large pool was gorgeous and though we were told it was not heated| we were able to swim with no problems| though the weather in October was cool at times.The beach is lovely. It is a sand beach and we did not need water shoes like on some other beaches. They do sell plastic one's at the hotel shop.However because October weather is so variable| we only swam in the ocean 1 day of the 2 we were there. I regretted not going in November when it get's warmer.One should book dinner reservations the moment one arrives. We had a problem one evening and were obliged to eat at the buffet at the main restaurant.The food was mediocre at the buffet.Overall we enjoyed the hotel. But one must be prepared that it is a busy resort with lot's of people.,New York| USA,03-12-16,Yes,5
Perfect honeymoon !,It was our pleasure to spend 10 nights at this amazing resort. For us everything was perfect| starting with the room which was spacious and with a nice view ( tropical suite)| the great restaurants with friendly staff and finishing with the awesome beach. The beach was the thing that we loved the most due to the fine sand and great free nautical activities.Also| the have a luxury spa where we had a lovely day. My wife and I highly recommend it.,Cluj-Napoca| Romania,02-12-16,Yes,5
"a new hotel with ""old"" staff....",beautiful setting| beautiful beach! it's a brand-new resort| rather big! so don't expect much privacy! the restaurants are crowded and without reservations you end up at the cats table! that happens even when you book but for a late dinner time...most annoying is the discrepancy between the new| young staff and the old-timers! where the younger crew tribes hard to please whereas the unionized older staff could not care less to provide even basic services or information!what a pity...,Dubai| United Arab Emirates,30-11-16,Yes,4
Beautiful Place,Our family stayed here for 10 days in the end of November 2016. Great climate| not too or as hot as in Arabia| but you never have to wear a jacket or a sweater. Perfect for our kids age 3 and 5. The hotel is very well prepared| the vegetation is wonderful| dolphins are just around the corner| a turtle passed by on the ground while we were going water skiing in the laguna. The Boat House with Nicolas the boss| is perfectly prepared and very friendly and quite flexible to your needs| allowing us to monoski 2 hours before they officially open| right before breakfast. The guest rooms are close to the sea| spacious| always well prepared and very clean.The different restaurants provide good to very good food| the best is the saturday ev. Dinner on the beach. Make reservations early! Disadvantages: 1. lots of people are trying to sell you something on the public beach of the hotel. No worries| you get used to it after two days. 2. The service in the hotel is partially very poor| especially in the buffet restaurant and in the breakfast restaurant. Certainly| there is enough staff everywhere in the hotel| but it appears as if from the very top to the bottom there is the mentality that every person only does his specific job| and nothing else. If your glass or coffee cup is empty| and the restaurant or hotel manager passes| and after a polite small talk you kindly ask for a refill| your wish may get downtransferred twice and you may wait another 10-20 minutes because not you as a person or the service to be provided seems to be the priority of all the personal| but the individual duty the service provider is told to do. This top to bottom management problem appears everywhere in the hotel.Summary: yes| we loved out stay| yes we do want to come back and we do recommend the hotel| but don't expect a ritz carlton service. ,Munich| Germany,26-11-16,Yes,5
Wonderful Stay ,We went to get a little R&R and it ticked all the boxes. Even though the resort is large and busy it never felt like that and the gardens and palms are beautiful and well kept. The food was great but we got tired of the buffet as we were booked for 10 days and we really enjoyed there restaurants on site| especially the one overlooking the ocean. We had a great time and will be back ,Camberley| United Kingdom,23-11-16,Yes,5
Wow!,Beach fronted duplex with its own pool - just amazing| the only place to eat is le deck. Other restaurants are okay but must have separate management as quality and service is below par. An excellent resort and very friendly. ,Camberley| United Kingdom,16-11-16,Yes,5
A very nice hotel with superficial staff,The hotel is nice overall| but the staff from here is really superficial. You will encounter problems from the moment you arrive. Besides the staff| the hotel is really nice| has plenty of facilities (tennis court| spa| gym| ...) and plenty of good a la carte (the best in my opinion is the Thai one).Also| the beach is extremely nice and you will enjoy the time there. Also| the resorts has a nice pool with plenty of space and sun beds. The sunset seen from the pool is simply breath taking.If you want to go to the a la carte restaurant please make sure you book one day upfront and through the restaurants reservation service rather than the concierge.For relaxation| it is a must to try their Spa. They have a variety of massages from where you can choose and the personnel is really nice and welcoming.Overall| I think this hotel is one of the best from the North of the island and it definitely has the best beach. If you can ignore the superficial staff you will have a very pleasant time here.,Bucharest| Romania,15-11-16,Yes,3
Luxurious Resort with Exceptional Management and Service,To say the management and staff will do anything to make your stay exceptional is an under statement ... General Manager Fatima and her Guest Relations team appear to be aware of everything that's happening within this large resorts and seem to know all the guests by name| with any incident resolved without becoming an issue.The resort is stunning| set in a beautiful beach location with luxury accommodation. Rooms are exceptionally well appointed| clean and serviced twice a day by default ... room service is just a call away. The six restaurants provide an excellent choice and variety of food| with the main restaurant providing buffet-style food ... we particularly liked the Thai (Blue Ginger) Restaurant who spiced up our food.Water sports equipment is in good order and the Beach Team are there to get you on and off the water ... safety is also very good.The gym is well managed and the Life Fitness equipment is in excellent order ... tennis courts are also available and bikes to ride on site.Unfortunately we didn't try the Clarins Spa although we had a complimentary treatment in our package.Although this is a large resort| at no time did it appear crowded| noisy or having to wait for service| creating a relaxed and luxurious atmosphere ... thanks to all the friendly smiling staff and their attention to service and detail.,Weybridge| United Kingdom,15-11-16,Yes,5
Wonderful!,It's a long way to go with the family but so worth it.This is a fantastic family resort| great service| food and scenery with free water sports| tennis and gym.I really can't fault this and more importantly| neither can any of us| which includes children (boys and girls) Ranging from 7 to 17| two couples 45 to 50 and a Grandma in her 70's| we all had a wonderful| enjoyable and relaxing time.,Weybridge| United Kingdom,15-11-16,Yes,5
Incredible and Amazing Experience,Outstanding is the word. Must say it is one of the best property i have ever stayed. Everything was top class. Front Desk| Reception| Pool side| Private beach| Water sports| In Room dining. Chef Satish Rathod was awesome. He cooked some amazing Indian delicacies and great service. Will recommend one and all when in mauritius just head to Trou Aux Biches. Best Place.,Mumbai| India,14-11-16,Yes,5
Perfect relax.,Very friendly and elegant atmosphere| nice staff. Spacious and comfortable rooms. Excellent food. Tidy beach with a sufficient number of the sun beds. The only minus are too expensive beverages in the restaurants.,Triolet,13-11-16,Yes,4
lovely hotel in fantastic location,Great holiday here. Fab room and great pool area well serviced by Rajesh| Nitish and Viney the ever attentive pool staff. Restaurants were great with choice of international| Italian| Indian and Thai. Also great water sports. Thoroughly recommend,London| United Kingdom,08-11-16,Yes,4
Very large and well run hotel,The accommodation is excellent and the gardens and pools very nice| but the water sports are very cramped for space. The food was hard to fault. The staff in the diving centre and the tennis coach were friendly and helpful.,North Pole| Alaska,02-11-16,Yes,4
Relax,Perfect location on the white sand beach| possible to have long walks on the beach up to 4 km long ( including Mont Choisy Plage up to Pointe aux Canonniers).Cosy rooms with a very good service| several small ' private' pools located just outside.5 restaurants (with prenotation required)| and one buffet restaurant with a very large choice of starters| hot meals| fresh fruit and... excellent patisserie française.Once for breakfast it took very long to get some coffee and tea; they apologised and offered a free lunch !Et war eng super Vakanz,Hesperange| Luxembourg,01-11-16,Yes,5
Superb Family Holiday,This is the most wonderful family stay. We have visited this resort over many years and we leave refreshed rested and with a yearning for our next visit. The beach is incredible. There are 6 restaurants to choose from but booking early is essential especially at peak times. The spa is heavenly and the therapists are world class. It is a large hotel but has been designed so well that you are not always aware of how full it is. Fatima is Trou aux Biche's Fairy Godmother| who makes magic happen and is always there to assist wherever she can. Chef Shazaad and Chef Julio are wonderful and always ready to please. Huge thanks to Menon who ensures excellent service at all times. To Lekraj and team at the Indian restaurant thank you - the chef at the Indian Restaurant is exceptional and has provided a variety of superb dishes here. Restaurant staff| Ouma| Satish| Jay| Tulsi| you are fantastic thank you.Beach staff - Ahad - Rishi and Dasmuth| - thank you for always making us feel so welcome. Best wishes to you all and Happy Diwali to all who celebrate.Thank you to Michel for always welcoming us to Trou aux Biche and for making our stay so comfortable always. Thanks agan Fati ( fairy godmother) see you next year.,Sandton| South Africa,31-10-16,Yes,5
Great hotel but poor service,This hotel is great| modern| and perfectly located. Problem is that the service quality is quite disappointed| not because the staff is not good| but because the staff is too much under demand. They should hire more staff.,Sandton| South Africa,30-10-16,Yes,3
Fantastic but possibly not for everyone,We are a couple in mid 50's | well travelled and used to 4 and 5 star hotels. There is little to find fault with at this hotel- but there are things to be aware of which might mean it is not for you:ProsAccommodation is outstanding whatever room I think you book- unless you are close to the Oasis restaurant in which case the music in the evenings from around 7 til 10 and during aqua gym- an hour in the morning might be mildly annoying.The hotel is large and extremely private with villas well separated from each other | with walled partitions. There are lots of beautiful trees and plants-you could almost be in a botanical garden / aviary such is the variety. Bed HUGE -1.80 wide. We experienced no insects in the room or around the resort. The conditioner they give is rubbish so bring your own and there is no body lotion offered which is poor for 5 star. If you don't like a long walk ask to be nearer the reception. All the accommodation is organised into 6 zones with villas arranged around its own pool. In addition there is the main pool near reception which is huge. All were v clean and warm.Food: extremely good- we ate at the Indian| Thai and International restaurants which are waiter service restaurants with choices from a menu as opposed to the main Oasis restaurant which is self service from an enormous buffet. All are beautifully furnished and the choice of food is large. The half board arrangement means you can choose from a more limited menu than the full board folk but the choice is plenty big enough. If you are paying for lunch- it is around 1100 for anything and as much as you want from a buffet- since we can't eat like this anymore we chose to walk south to the end of the beach and onto the main road where you can have a simple grilled fish and salad for 750 rupees for 2 - at the souvenir resto.You can choose to eat breakfast at either Oasis - where the choice is ridiculous- anything you would want -or at the International resto at the edge of the resort which is much smaller and quieter ( seems like the families with children don't come down this far)- and has about 75 % of the choice that Oasis offers. Make sure you go here at least once to eat in the morning and for supper where there is a really good piano player- sometimes accompanied by a singer or sax- but not loudly!Water sports: the snorkelling from the hotel is very good we saw parrot fish| angel fish| flute and trumpet fish| sea snakes| and about 30 diff varieties... make sure you get to go on the boat when it goes outside the reef- you see a lot more there- although inside is pretty good too. We did a dive but unless you can prove you have dived in last 6 maths they only take you on a shallow dive / refresher course- and we saw less than we did snorkelling ! This was with the dive school associated with the hotel- there are others nearby as an alternative - it cost us 2200 per person for 40 min dive only about 10 mins from the beach :(Water skiing is offered all day long and was easy to book- as were all water sports- but be sure to book snorkelling asap as it is v popularWi fi excellent everywhereThe gym was outstandingly good and wouldn't shame a small private gymCons- all minorBed was hard so we asked for an extra thin top mattress- which they did immediately- but we needed 2 of these because they were intact just duvets!Conditioner useless as mentioned and no body lotionPrice of wine ridiculous Price of massages the same as what we pay in Zermatt| Switzerland- which seems madThere is a lot of boat activity from the hotel and neighboring hotels and quite a few hawkers( all quite polite) - which we didn't mind as we were responsible for taking advantage of what was on offer-water skiing and snorkeling and sailing...The swimming lane is v limited so for those who want to swim in the sea,Divonne-les-Bains| France,28-10-16,Yes,5
A honeymoon to remember!,My husband and I stayed in this hotel for our honeymoon in October 2016.It is a spectacular place in the northwestern part of the island. A massive resort| with lovely beach| multiple restaurants and exotic looking pools| tucked away between the villas. No matter what| it is almost impossible to not like this place| despite some negative points listed below. We would definitely recommend this hotel to everybody.Positive points:- As we were on honeymoon| we were upgraded from half board to full board.- The breakfast buffet is excellent.Probably one of the best breakfast buffets I have ever experienced during travels. - We loved our outdoor shower (Tropical Junior suite)- The hotel has a high quality beach- The sunsets are amazing. One of the reasons we stayed on the west side of the island was to have the best sunset views and we were not disappointed.- Staff is very friendly| both at reception as in all restaurants| as the cleaning personnel.- The hotel offers a nice range of restaurants with good quality food. It was hard to pick a favorite| they are all very nice.- There are free water sports: pedalos| kayaks| snorkeling| paddle board and water ski- We loved the pool close to our villa| it was an oasis of peace. - On the last day| we were given the room for the entire day as our flight was only scheduled at 23:30 and taxi pick up at 19:30| something we really appreciated- We hardly left the resort but never got bored as it's so impressive.Negative points:- All week we had seen the tables at dinner time| full with rose petals for honeymoon couples| so we were quite enthusiastic about having our own one on the last night in the resort. We had chosen the Thai restaurant to have our honeymoon dinner. When we got there| the Thai restaurant was exceptionally closed for dinner (no real reason given) and staff had ensured we had a table in next door's Indian restaurant... But not a honeymoon table. So that was quite disappointing as we had been looking forward to it| and obviously had no chance to re-book. Maybe something to keep in mind when you book your own.- Staff were very friendly throughout our stay| but the service very inconsistent. During our first week we were served without any delays| the second week we had to wait up to 25 min to get our food / drinks / bill. Oh and| for some reason it takes 20 mins to make a latte| so if you are in a hurry| don't order lattes :)- The lunch menu is rather limited| it didn't change and if you stay in the hotel for longer than 1 week it becomes rather dull. - The tour we booked was sold as a snorkeling excursion. We were rather limited in our options as I am pregnant. In reality| this was a booze cruise| with hardly any snorkeling at all. By all means| we had a great day and loads of fun (even without drinks)| but it shouldn't be sold as a snorkeling day out.- The accommodation was lovely| but the only negative comment I would make is the hard mattress. I haven't slept well during our stay| I could not get comfortable and woke up every night with back pain. If you like hard mattresses| then you'll have no complaints. - The beach and main pool are fantastic| however| there are too many men trying to sell stuff on the beach which becomes annoying after a while and if you want a prime location at the pool| you better make sure you're there at 7am with your towel!,London,28-10-16,Yes,4
Simply the best hotel I have stayed in!,We stopped here for four nights on our honeymoon and were upgraded to a Seaview with a private pool. Simply spectacular. Breakfast was varied and delicious. The views are lovely| staff delightful. The two snorkelling trips we did were excellent and we saw loads of critters. We didn't do the all inclusive thing and found a variety of restaurants in walking distance for lunch and dinner. ,Chicago| IL,21-10-16,Yes,5
Little piece of paradise| honeymooners place,"I really enjoyed my staying at the Beachcomber. It's a 5 star complex that provides you the calm and perfect staying. In my case I don't rate with 5 bubbles because of a personal reason... I personally like the contact with other people| and this hotel doesn't help it. Of course if you look for a perfect honeymooner stay| like ""i just need being with my couple""| it's perfect for you. If you want to be a bit more social| is kind of complicated. But I repeat... Is really beautiful. ",Barcelona| Spain,21-10-16,Yes,4
3 bedroomed Villa ,Our stay has been wonderful. We were upgraded from a 2 bedroom Villa to a 3 bedroom. Our Villa and the Villa staff made our stay so pleasant. Our Butler Christina was so efficient| professional and pleasant| thank you for looking after us so well.Thank you also to Dinally our Villa manager who very professionally arranged everything during our stay. We did not need to leave our little oasis here at the hotel. The main pool and beach are very big so it was nice to have a place of our own. Restaurants and the food is very good. ,Zurich| Switzerland,20-10-16,Yes,4
Fantastic hotel | beautiful paradise,Very nice hotel | fantastic garden tons of very special trees and flowers. The room has an outside shower | the staff is very friendly | the hotel really all super nice. The beach is one of the best on the island|,zürich,17-10-16,Yes,5
Island style luxury,I stayed at the hotel for one night while I was on a charity cycle tour in Mauritius. The hotel is located near Mont Choisy in the north and within walking distance from local shops. I stayed in a luxury room (#132) overlooking the pool area close to the gigantic banyan tree. Spacious room and bathroom. Fantastic room but rather noisy with guests in the pool. I tried stand up paddling in the ocean for the first time. It is offered free of charge. Great overall experience.,Pretoria| South Africa,15-10-16,Yes,4
Excellent Resort| Great Facilites and Attentive Staff,We stayed for 14 nights in a beach front room with plunge pool. The room was a one walk to the beach and two of the restaurants.Resort facilities are excellent| with a large sandy beach front. There are several pools including several privately situated ones between the villas. No shortage of sun beds at the pools or on the beach.There are several restaurants and it's advisable to book in advance with Linda who is in the reception area.Our favourite was the Thai Blue Ginger.All staff are very friendly and attentive. We would thank Menon for looking after us at breakfast and dinner.If we come back to Mauritius then we will defiantly book here again.,Leeds| United Kingdom,14-10-16,Yes,5
Holidays at Trou Aux Biches / MRU,Very nice Hotel to spend a few exciting beach days with an amazing beach.The staff is very friendly as it can be expected for this class of a hotel.The amount of restaurants and bars is satisactory| the overall quality and variety of the different menues is excellent.The rooms are spacious with an appealing design.,Triolet,10-10-16,Yes,4
Beautiful reaort,We stayed here for 9 nights. We really wanted to extend our stay because the place was just amazing. We had the suite overlooking the beach and we couldn't get enough of such a pristine beach. The staff were so friendly and accommodating. It's always hard to travel with a toddler but this resort made me feel right at home!,London| United Kingdom,10-10-16,Yes,5
A dream wedding anniversary!,Just came back after spending a week in Paradise at the Beachcomber Trou aux biches resort! Evrything was perfect : from the spacious and very comfortable suite to the Beautiful beach. What made the stay even more special was the friendly and warm welcome of all the hotel staff! A special mention about the food as my wife and myself being food lovers we particularly enjoyed the very high quality and diversity of th restaurants: From the amazing Italian passing by the excellent Thai and Indian and perfect La Caravelle every meal was a pleasure here again with quality and diversity. One regret only we only discovered during our last evening the Deck restaurant ( but came back the next day for our last meal) . The food and welcome was even better than the other restaurants ! We can only recommend this resort with full board plus if you are like us food lovers ! We ll be back !!!,London| United Kingdom,08-10-16,Yes,5
Paradise revisited,This hotel is an amazing place| the staff were excellent in all areas| house keeping| front of house| restaurants and the pool/beach areas. Our pakage was half board so we decided to go to Port Louis and garnd bay for lunch both of which can be accessed by bus(very cheap) and taxi about £10 to £20 pounds return. Buses are efficient and run every 10/15 minutes.to both those areas. Overall an Excellent experience.,London| United Kingdom,07-10-16,Yes,5
A little corner of paradise!,We spent the most incredibly relaxing 4 days at Trou aux Biches. The calming beauty of the resort is just breathtaking. We had a stunning suite that faced the ocean with a private pool outside and it felt great waking up with the view and going for a walk on the beach. The staff are very attentive and made us feel so welcome. The Clarins spa is an oasis where you disappear for a few hours| get doted on and come out revitalized. All in all| an superb resort!,Accra| Ghana,03-10-16,Yes,5
Perfection,If you fancy a trip to Mauritius in September make sure it's nudging October| as although the weather is a perfect temperature to lie prostrate in without frying| the sea is still a little chilly and the rainstorms a little more inconvenient for the open air dining that the hotel specialises in. But never fear| Trou au biches is more like a village than a hotel| and it more than makes up for any early season mildness with the staff and quality of rooms and dining options. We stayed in a garden room| beach facing| with a plunge pool- right on the last block before the property finishes and runs in to a public beach area. This suited us well as it placed us within strolling distance of Le Caravel restaurant where we had breakfast every day and the Italian restaurant situated right next to it.This end of the hotel felt more select and are tucked away from the main Oasis self service and everything is a little more hushed.The room was just lovely with a view of palm trees and the setting sun| it's hard to imagine a more romantic setting. But the real wow moment is the bathroom| with indoor and outdoor options so you can shower without steaming up the room.Fresh beach towels are delivered every day and despite some comments on here we found the room's wi-fi to be pretty good. the TV channels are a little limited for English speaking but frankly we didn't really come to Mauritius for the TV entertainment.When you first arrive| bedraggled and exhausted from the 11hr flight (from London) it is tempting to curse the immediate approach of the beach hawkers as you arrange the towels on the heaviest wood sunbeds in the southern hemisphere.If you've ever travelled to Africa before| they come with the territory but here they are friendly and won't bother you if you just say no. Nevertheless as the days wore on we became more familiar with them and curious about their trinkets.I would recommend the cashmere seller as the scarves are made on the island along with many other brands but some of the pearl necklace guys are selling real pearls but jewellery more suited to 'Claire's Accessories'. Still| they look nice on a golden beach.We took a catamaran trip up to the north islands| which was spectacular but we instinctively avoided the trip sellers on the beach and found a small office near the post office on the cross-roads near the hotel. she was much cheaper and her company was fully licensed- unlike| according to her| the guys on the beach.But the hotel itself was immaculate| the staff friendly and simply couldn't do enough for you.I'm glad we went full board in the end as dining outside the hotel grounds didn't seem hugely appealing as the best restauarants were almost certainly within the grounds.There is a waiter service for drinks on the beach| but it's not too intrusive...so look out for the hotel guys and they can produce anything you need - they just don't pester you for the work!Regarding booking the restaurants| do it as soon as you get settled in| they do get booked up and there is always a line of people at the booking lady's desk which means she never answers the phone extension if you try calling from your room. We loved this hotel and would recommend it to anyone who is looking for a romantic and restful break. One request though| if you are a couple| when you are sitting in one of the most romantic| exotic| perfect places in the world| having one of the finest dinners you will ever eat| try not looking at your sodding phones throughout the entire meal and try talking to each other!Maybe I am old fashioned| but it was just so sad to see at every table.Enjoy!,London| United Kingdom,03-10-16,Yes,5
Great hotel| great holiday,We spent 8 days at Beachcomber Trou aux Biches Resort and Spa| at the end of August. The experience was awesome. Beautiful rooms| good food (obviously cannot be compared to South African food)| friendly staff and beautiful beaches. Arriving we had been allocated rooms along the boundary wall| which was not great because of the traffic noise. On request we were moved to rooms on the other end of the hotel. Away from the traffic noise but also far from the reception and restaurants. I did not mind the walking given that I was going to miss my daily runs during this holiday. The outdoor shower was a hit| but the rooms were generally dark. There was a choice of six restaurants| but this was just theoretically as the restaurants were on a rotational basis. We found the main buffet restaurant to be better as it had enough variety to cater for the family.,Sandton| South Africa,02-10-16,Yes,4
Checked in 29 Sep 2016 - currently staying,We are currently staying at a two bedroom villa. I have stayed in several prestigious hotels but this is by far the most superb hotel I have ever had the pleasure of visiting. The accommodation is excellent - contemporary | spacious and state the art| The staff have ben out friendly and tentative to our every need. The villa is private and secluded with our own butler. A private pool adds a beautiful touch. Well equipped gym and easy access to an immaculate beach. .,Cape Town Central| South Africa,01-10-16,Yes,5
Wedding venue in Mauritius,Fiona our wedding planner was lovely| she had everything organised and was happy to accommodate any of our wishes. We could not fault hotel or its staff and many of them congratulated us on our wedding. They were all so helpful and made our stay special. Flying BA from England meant we were to check out well before departure and Celine the assistant manager arranged a late check out for us although we had to change rooms for two nights with a free seafront suite upgrade. Five restaurants cater for all tastes with delicious deserts. The reef is accessible from the beach but the hotel don't recommend it because of passing boats and provide hourly boats to take you snorkelling. It is not up to Red Sea standard but you do see fish. Ile Aux Cerf is a lovely day trip with BBQ lunch on the beach. You can snorkel with a surcharge.,Johannesburg| South Africa,01-10-16,Yes,5
Rest and Relaxation Deluxe ...,An incredible and memorable beach holiday...The sea-facing junior suite was a few meters from the beach. Waking up to the most wonderful views of the ocean and surrounded by rows of palm trees just added to a relaxing holiday. While garden units are available and may be cheaper| save up a little extra and spoil yourself with a sea-facing room. End you day with watching the most wonderful sunsets - either from the lounger on the beach or on the pool deck.The accommodation was very spacious and luxurious| the staff super helpful and friendly. Always ensuring that guests were happy and taken care of| nothing was too much trouble| anytime 24/7. The variety of amenities and activities available on the resort will keep every type of person happy while on vacation. Keeping fit while I was here was most enjoyable. Beautiful clean stretch of beach for an early morning run| beautiful pools| a hidden heated pool for that late night swim| big fitness centre and daily 5pm exercise classes. Spoil yourself with a treatment at the Clarins Spa. The 90min massage comes highly recommended. Ally was my therapist and he was and excellent therapist.Many restaurants to choose from but my favorites were the Indian & Thai meals. If you are foodie - you will not be disappointed but bookings are essentials at these restaurants. Buffet variety for breakfast| lunch and dinner is great and al carte is also available.I have to also give a special mention to Fatima| Dabby| Rakesh| Arwan| Jay and Ally. You display the art of guest centricit and hope that your management team recognises you for this.I will definitely be back :-) Thank you to all the staff at Beachcomber Trou Aux Biches Resort.,Johannesburg| South Africa,30-09-16,Yes,5
Beautiful hotel and kids friendly,This hotel is located in the best beach coastline of Mauritius. The hotel has lots of trees and greens and 5 pools -included 2 heated ones. The kids place is great with lots of space and a nice kids pool. The gym has a great outdoor Hammam place. The service is excellent and kids can pre order their food. One minus is too many golf carts driving around in the compound. The Asian buffet is the best. ,Triolet,29-09-16,Yes,4
Great Holiday,Nice beach resort for families with great water sports and a variety of restaurants. Luxury rooms and bathrooms. Lacks of night entertainment| but friendly staff in general. Restaurants could be closed as it gets very cold in the winter and windy time... But nicely laid out and overall very relaxing. ,Triolet,28-09-16,Yes,3
Impressive holiday retreat,I visited with friends and this being my first stay in Mauritius I had high expectations. Having visited several East Africa beach properties| I also had a benchmark on what to expect.We stayed for three nights in one of their beachfront villas. All rooms are quite spacious; the villas have the usual amenities as well as an enchanting private outdoor shower and a plunge pool. Rooms are clean with modern fittings. Staff are discrete and it felt as though fairies secretly kept the place clean throughout my stay.Guests are spoilt for choice on dining options with at least 6 restaurants (including 3 dedicated to Indian| Thai and Italian cuisine) to choose from without having to venture outside the property. Lots to do in and outside the property too. A functional spa for those wanting to relax. I also counted 5 swimming pools scattered across the property so there's no overcrowding. Properly equipped water sports centre as well as a tennis court and bicycles for hire. There's the clean long beach stretch without local vendors hustling you for those who enjoy leisurely walks. For a holiday resort they maintain an impressive gym. Finally the location is secure enough for an outdoor run along the beach or on paved roads that follow the coastline - I felt quite safe on a one-hour run starting 6am.I checked in slightly perturbed at the sheer number of guests milling around and wondering if service levels would be affected. This property exceeded my expectation and then some. I checked out determined to visit again one day soon.,Nairobi| Kenya,28-09-16,Yes,5
